id	q1a	q1b	q1c	q1d	q1e	q1f	q2a	q2b	q2c	q2d	q2e	q2f	q2g	q2h	q3a	q3b	q3c	q3d	q3e	q3f	q3g	q3h	q3i	q3j	ika	sukup	pituus	kenka	kasi	koneon	kone	opalku	kurssit	osa1h	toita	optyo	tahti	tyovko
1	3	3	2	1	2	2	3	4	4	3	4	4	4	4	2	4	3	4	3	4	2	4	4	4	20	N	171	38	O	O	W	14	3	2	E	NA	NA	NA
2	2	2	2	1	1	1	4	3	5	4	5	3	4	5	4	5	4	3	5	4	4	4	3	5	25	N	165	37	O	O	W	13	4	8	E	H	NA	NA
3	4	3	3	2	1	2	4	5	3	4	5	2	3	4	3	4	4	5	4	2	3	2	4	4	19	N	168	39	V	O	W	14	3	3	E	S	NA	NA
4	4	2	2	2	1	1	2	5	4	2	3	4	5	3	4	5	4	3	4	3	3	2	4	5	26	N	166	38	O	O	W	14	5	8	E	H	NA	NA
5	3	3	NA	2	1	1	3	4	4	4	4	4	4	4	1	4	4	1	4	4	3	4	1	3	76	M	171	42	V	O	W	4	1	20	E	NA	NA	0
6	3	1	2	2	1	1	3	4	4	3	4	3	5	4	4	4	4	4	4	3	4	2	4	4	23	M	180	43	O	O	W	14	5	4	T	S	S	7-15
7	3	1	3	1	1	1	3	5	3	3	3	3	4	3	3	4	4	3	4	3	3	1	4	4	26	M	180	44	O	O	M	14	5	3	T	S	S	4-15
8	3	2	2	2	1	3	2	5	5	2	5	2	5	2	2	5	5	4	5	4	1	3	4	4	19	N	170	39	O	O	W	14	5	4	E	NA	NA	NA
9	2	2	1	1	1	1	5	5	3	5	5	2	4	5	5	4	3	5	4	1	4	1	5	2	21	M	193	45	O	O	M	12	4	2	T	S	N	8
10	3	1	2	2	1	1	2	5	4	4	5	2	3	5	4	5	5	4	5	4	5	4	4	5	23	N	166	38	O	O	W	11	3	3	E	H	NA	NA
